"Iteration","C_D Monitor: C_D Monitor"
1.0,5.897816750164965
2.0,3.435683038875015
3.0,0.48539390190682674
4.0,0.27181940242119706
5.0,0.07547905862726441
6.0,-0.2075501282491707
7.0,-0.1774309039349072
8.0,-0.1061111349156748
9.0,0.06889194050320635
10.0,0.07023013159870106
11.0,0.0706291699771899
12.0,0.07050375694018442
13.0,0.06724354899335674
14.0,0.06101770760461856
15.0,0.052196079456903764
16.0,0.04271208978107714
17.0,0.03446128769252804
18.0,0.02881341259605208
19.0,0.025875379953409296
20.0,0.025085085961894227
21.0,0.025676450466989312
22.0,0.026906301508687676
23.0,0.028151017946093787
24.0,0.02895162920147737
25.0,0.029110999912224617
26.0,0.028442050094787785
27.0,0.027558642480265294
28.0,0.025230962401490985
29.0,0.02455036821398656
30.0,0.023636338831410638
31.0,0.022291392646550626
32.0,0.021696242854565964
33.0,0.021010977701750692
34.0,0.02002436894313557
35.0,0.01934229054667585
36.0,0.01881248702339871
37.0,0.01832860217879126
38.0,0.017944933005798466
39.0,0.017448819110562553
40.0,0.017094192245327905
41.0,0.016726768131956695
42.0,0.016380164795843796
43.0,0.016039323503596912
44.0,0.015626799924594547
45.0,0.01519395303297313
46.0,0.01482544439735241
47.0,0.014491882980059195
48.0,0.014201220220848566
49.0,0.013989572168686036
50.0,0.013852250939932597
51.0,0.013767154752328122
52.0,0.013729205650347688
53.0,0.0136956061091336
54.0,0.013692156824373648
55.0,0.013719958065432993
56.0,0.013784995429068
57.0,0.013909274623106867
58.0,0.014078094235155443
59.0,0.01427509059100906
60.0,0.014465917680845111
61.0,0.014640646351866257
62.0,0.014813485362147326
63.0,0.014939660530950688
64.0,0.015022417983679561
65.0,0.015072642378359653
66.0,0.015094291830078526
67.0,0.01504211531717958
68.0,0.0149045708490721
69.0,0.014727002394991508
70.0,0.014517390696325731
71.0,0.014232323074386162
72.0,0.01393234275895076
73.0,0.013665110430688694
74.0,0.01348565408250247
75.0,0.013415056318680386
76.0,0.013395515353989989
77.0,0.013400437270928729
78.0,0.01347233232368737
79.0,0.01354953584840459
80.0,0.013618967442161543
81.0,0.013655709723769213
82.0,0.013677238869983451
83.0,0.01369799742150923
84.0,0.01370048491894239
85.0,0.013690056222259953
86.0,0.013666562377764261
87.0,0.01366630718530452
88.0,0.013703998682968848
89.0,0.013757685543944
90.0,0.013893713186793862
91.0,0.014045945158372127
92.0,0.014181892822197135
93.0,0.014369013436593739
94.0,0.014658977081899085
95.0,0.01489286189627196
96.0,0.015049328152536155
97.0,0.015311419443269598
98.0,0.015601357384787387
99.0,0.015792894196586783
100.0,0.015988680650095292
101.0,0.016242000999587284
102.0,0.016478630851794414
103.0,0.016623535464831765
104.0,0.016766929107583196
105.0,0.016769113879874828
106.0,0.01664100043172997
107.0,0.01627406571052517
108.0,0.015675575542554575
109.0,0.014925566334734347
110.0,0.014179080415247203
111.0,0.013555779396348375
112.0,0.01322177208485286
113.0,0.013156664771905366
114.0,0.013210559585403518
115.0,0.013375242934391117
116.0,0.013673770109536035
117.0,0.014020113550772234
118.0,0.014421009443026971
119.0,0.014819149523638678
120.0,0.015178842116528615
121.0,0.015508987068002487
122.0,0.015820924895177977
123.0,0.016031235602817648
124.0,0.016292600252646082
125.0,0.016628157540849477
126.0,0.016871417722096792
127.0,0.01707434960486249
128.0,0.01723611562935171
129.0,0.017596588640165
130.0,0.017640394042249215
131.0,0.017377427251882637
132.0,0.016873354815941148
133.0,0.016194768054285373
134.0,0.015508018256775509
135.0,0.014559248510209906
136.0,0.013953975711992979
137.0,0.013261032698742393
138.0,0.012814910897383956
139.0,0.01249353601418437
140.0,0.012341100295872324
141.0,0.012480475772823877
142.0,0.012693815663924576
143.0,0.01297218491407878
144.0,0.013428856106224185
145.0,0.013863063543843212
