"Iteration","C_D Monitor: C_D Monitor"
1.0,5.906468691300686
2.0,8.913237924448287
3.0,7.119289751669316
4.0,-3.408148793640099
5.0,-8.079593216534649
6.0,-5.725121247817546
7.0,1.8831294910885208
8.0,4.301277102973974
9.0,3.08276951754236
10.0,1.1861889984290612
11.0,0.43027865246791486
12.0,-0.21484694371637858
13.0,-0.3411022194304243
14.0,-0.03095731839865085
15.0,-0.0039754796251838045
16.0,0.17384401635825958
17.0,0.20769481970558779
18.0,0.23472915352430596
19.0,0.22698694482857623
20.0,0.18927907800717136
21.0,0.12457970038632737
22.0,0.07074257305805913
23.0,0.027379582645743347
24.0,-4.5370547060477433E-4
25.0,-0.014560290355201885
26.0,-0.016716526721543487
27.0,-0.009903867387983684
28.0,0.0018729870299543554
29.0,0.015451947374303655
30.0,0.0271657711556179
31.0,0.03555722711476592
32.0,0.04008636653728423
33.0,0.041253431377560094
34.0,0.039705186829685664
35.0,0.03640645936712076
36.0,0.032446835584155856
37.0,0.027080950011646093
38.0,0.024433701201022263
39.0,0.023608035867860474
40.0,0.02384210689864616
41.0,0.024579002324865047
42.0,0.025538631074825235
43.0,0.026532144444655584
44.0,0.02738037084235373
45.0,0.027951641710734623
46.0,0.028413046833815424
47.0,0.02893515112284307
48.0,0.02939627767598065
49.0,0.029831794371149464
50.0,0.030237271560021407
51.0,0.030566970267521597
52.0,0.030747277626084393
53.0,0.030813077590578324
54.0,0.03089683914810751
55.0,0.030927315661855775
56.0,0.031032702553605063
57.0,0.03120643790846144
58.0,0.03144561968478416
59.0,0.03167095803330858
60.0,0.03195181038600303
61.0,0.03234485540062706
62.0,0.032930803044645206
63.0,0.03364391421605454
64.0,0.03442221145263204
65.0,0.03537017865161114
66.0,0.03640598768763462
67.0,0.03749451491280781
68.0,0.03869513196905161
69.0,0.04002184235959563
70.0,0.04147829737541088
71.0,0.04309367778648089
72.0,0.044818957311961324
73.0,0.0466391842106592
74.0,0.04856102420764913
75.0,0.0506305665551892
76.0,0.052772778795840934
77.0,0.05482234467822812
78.0,0.05668698715206752
79.0,0.05832674138186139
80.0,0.05980971779383992
81.0,0.061107287122215026
82.0,0.06216880190760806
83.0,0.06301352823300446
84.0,0.0636430692961415
85.0,0.06398452930373544
86.0,0.06405322625533856
87.0,0.06390500437714496
88.0,0.06362633599891415
89.0,0.06327030379351063
90.0,0.06287178956560757
91.0,0.062459524369031696
92.0,0.06205770261361145
93.0,0.06168761067053603
94.0,0.06137733505358191
95.0,0.06112970103596231
96.0,0.06095134479562885
97.0,0.06085733742280017
98.0,0.060846374980304985
99.0,0.06090824510468042
100.0,0.06102046065938441
101.0,0.06116678572140638
102.0,0.06132583975418965
103.0,0.06148070257981049
104.0,0.061652298759511684
105.0,0.06170290616806713
106.0,0.06182721184260614
107.0,0.06185701400398553
108.0,0.061893052343493155
109.0,0.06178189578378893
110.0,0.06177059861218169
111.0,0.06166617793338698
112.0,0.06158359693412582
113.0,0.061362256859925884
114.0,0.061275883156438116
115.0,0.0610862841705974
116.0,0.06099457231166288
117.0,0.060787872914552885
118.0,0.06070296458521471
119.0,0.06049719683328453
120.0,0.0604445696198609
121.0,0.06026722637068953
122.0,0.060258760814746314
123.0,0.06012855846913345
124.0,0.06017381908783602
125.0,0.0600956497427263
126.0,0.06019744630983362
127.0,0.060174520093792205
